t,x,y,z,v_x,v_y,v_z,M
339.6263139525546,4432243.425453274,-5065543.146129889,587976.2199174168,2712.5575569432685,1513.1668400419485,41.82754294900882,30289.2370349818
340.1063139525546,4433546.010731496,-5064815.007443474,587996.2017950912,2714.8822799898066,1520.7456193931152,41.43025684225762,30238.8370349818
340.58631395255463,4434849.713574238,-5064083.229117418,588015.9929410052,2717.2140791321053,1528.3320103366416,41.03282710850626,30188.4370349818
341.06631395255465,4436154.537382868,-5063347.807490765,588035.5932859691,2719.5529745647777,1535.9260436955685,40.63525271050273,30138.037034981797
341.54631395255467,4437460.485568474,-5062608.738887729,588055.0027602944,2721.8989865910185,1543.527750443197,40.23753260648436,30087.637034981795
342.0263139525547,4438767.5615519155,-5061866.019617619,588074.2212937911,2724.2521356233096,1551.137161704131,39.83966575014392,30037.237034981794
342.5063139525547,4440075.7687638765,-5061119.645974767,588093.2488157661,2726.6124421841323,1558.7543087553272,39.44165109059554,29986.837034981792
342.9863139525547,4441385.110644918,-5060369.614238459,588112.0852550206,2728.979926906684,1566.3792230271567,39.04348757234025,29936.43703498179
343.46631395255474,4442695.590645531,-5059615.920672853,588130.7305398484,2731.354610535601,1574.0119361044726,38.64517413523124,29886.03703498179
343.94631395255476,4444007.212226193,-5058858.561526911,588149.1845980331,2733.7365139276894,1581.652479727688,38.24670971443888,29835.637034981788
344.4263139525548,4445319.9788574185,-5058097.533034324,588167.4473568458,2736.125658052661,1589.3008857938635,37.84809324041537,29785.237034981787
344.9063139525548,4446633.894019814,-5057332.83141343,588185.5187430435,2738.5220639938734,1596.9571863578035,37.449323638859134,29734.837034981785
345.3863139525548,4447948.961204135,-5056564.4528671475,588203.3986828661,2740.9257529490787,1604.621413633162,37.050399830678856,29684.437034981784
345.86631395255483,4449265.1839113375,-5055792.39358289,588221.0871020345,2743.3367462311794,1612.2935999935578,36.65132073195727,29634.037034981782
346.34631395255485,4450582.565652638,-5055016.649732495,588238.5839257481,2745.755065268988,1619.9737779736988,36.25208525391458,29583.63703498178
346.82631395255487,4451901.109949564,-5054237.217472144,588255.8890786826,2748.1807316079944,1627.6619802705168,35.852692302871596,29533.23703498178
347.3063139525549,4453220.820334015,-5053454.092942287,588273.0024849875,2750.6137669111404,1635.3582397443113,35.453140780212536,29482.837034981778
347.7863139525549,4454541.700348318,-5052667.272267559,588289.9240682836,2753.0541929595993,1643.062589419904,35.05342958234752,29432.437034981776
348.2663139525549,4455863.75354528,-5051876.751556702,588306.6537516612,2755.502031653564,1650.7750624878024,34.6535576006747,29382.037034981775
348.74631395255494,4457186.983488251,-5051082.526902491,588323.1914576767,2757.9573050130393,1658.4956923053733,34.25352372154211,29331.637034981773
349.22631395255496,4458511.393751181,-5050284.594381646,588339.5371083512,2760.4200351786453,1666.2245123980276,33.85332682620914,29281.237034981772
349.706313952555,4459836.987918673,-5049482.950054755,588355.6906251675,2762.890244412422,1673.9615564604146,33.452965790807696,29230.83703498177
350.186313952555,4461163.769586048,-5048677.589966192,588371.6519290673,2765.367955098645,1681.7068583576263,33.05243948630301,29180.43703498177
